photo_id,title,description,tags,faves
47117540204,Out Of Service,"<a href=""""https://www.youtube.com/channel/UCprlK5SeZ-gWejjSjf_oCcA"""" rel=""""noreferrer nofollow"""">You Tube</a>
<a href=""""https://twitter.com/TomarasAlex"""" rel=""""noreferrer nofollow"""">Twitter</a>
<a href=""""https://gr.pinterest.com/tomarasalex/"""" rel=""""noreferrer nofollow"""">Pinterest</a>
<a href=""""https://plus.google.com/u/0/105767599098038510430"""" rel=""""noreferrer nofollow"""">Google</a>
<a href=""""https://www.instagram.com/alex.tomaras/"""" rel=""""noreferrer nofollow"""">Instagram</a>
","london, england, underground, metro, train, nikon, station",5.0
47853928502,Street Art,"Camden, London","camden, london, streetart, graffiti",0.0
40933900683,Street Art,"Camden, London","camden, london, streetart, graffiti",0.0
47905352661,"Inner Garden Wall...Kenwood House, Hampstead, North West London, UK",Estate Wall with a couple of  old Parish and Boundary Markers,"wednesdaywalls, hww, hampstead, northwestlondon, wall, railings, kenwood, kenwoodhouse, gardenwall, london, england, uk, path, bricks",7.0
46986834285,"450102, Clapham Junction 3.3.19",450102 arrives at Clapham Junction with a service to London Waterloo on 3rd March 2019,"450102, claphamjunction3319",1.0
47902880211,Marian Court,Homerton,"homerton, 2019, london, eastlondon, eastend, hackney, canon5dmkii, canoneos5dmarkii, canon28mmf18, architecture, topographics, newtopographics, urbanlandscape, urban, socialhousing, councilestate, abandoned, derelict, graffiti, boardedup, modernism, e9, homertonhighstreet",8.0
47113452914,"90019 Multimodal, London King's Cross 11.3.19",90019 Multimodal awaits to depart London King's Cross with the 1B86 1406 LNER service to Newark North Gate on 11th March 2019,"londonkingscross11319, multimodal, 90019",1.0
47850756872,"91120, London King's Cross 11.3.19",91120 at London King's Cross on the 1N21 1430 departure to Newcastle on 11th March 2019,"91120, londonkingscross11319",0.0
40936323273,"91128 & 800109, London King's Cross 11.3.19",The old and the new.........91128 &amp; 800109 side by side at London King's Cross on 11th March 2019. 91128 was waiting to depart with the 1D17 1403 service to Leeds while the Azuma was on test.,"91128800109, londonkingscross11319",1.0
46983853665,king williams temple,"<a href=""https://historicengland.org.uk/listing/the-list/list-entry/1251785"" rel=""noreferrer nofollow"">historicengland.org.uk/listing/the-list/list-entry/1251785</a>","london, richmond, kew, kewgardens, january, 2019, kingwilliamstemple, pano",0.0
47846767742,Shahram Nazeri & Davlatmand Kholov (2019) 11 - musician,"24th February 2019 at the Barbican, London EC2.

Country: Iran. Style: Traditional Persian, Tajik and Kurdish Music.

Lineup:  Shahram Nazeri (v/setar), Davlatmand Kholov (v/setar/ghijak), &amp; musicians playing tar, oud, kamancheh, tanbour, rubab, tablak, daf, udu/water drum/singing bowl.

This concert organised by Mana Naqsh launched a new international cultural project &quot;The Language of Love&quot; to promote Persian poetry. It brought together major figures in Persian and Tajik music. Shahram Nazeri is a Kurd from Kermanshah is the western part of Iran. He performs Classical Persian and Kurdish music, and is particularly known for his settings of Rumi poems. Davlatmand Kholov comes from the southern Tajik city of Kulya and performs the traditional musical style of Falak (found across the Pamir Mountains of Central Asia, northeastern Afghanistan and  northern Pakistan as well as southeastern Tajikistan). He is normally accompanied by a large ensemble including five of his sons. Two of the ensemble were present here. The other musicians were billed as the Mana ensemble. I have been them both before (Nazeri in 2004 at the Royal Festival Hall and 2007 at the Barbican with the Rumi Ensemble, and Davlatmand in 2004 at the Theatre de la Ville in Paris).
","worldmusic, iran, traditionalpersianmusic, traditionalkurdishmusic, traditionaltajikmusic, shahramnazeridavlatmandkholov, tanbourkurdishiranian, barbican",1.0
47846766062,Shahram Nazeri & Davlatmand Kholov (2019) 10 - musician,"24th February 2019 at the Barbican, London EC2.

Country: Iran. Style: Traditional Persian, Tajik and Kurdish Music.

Lineup:  Shahram Nazeri (v/setar), Davlatmand Kholov (v/setar/ghijak), &amp; musicians playing tar, oud, kamancheh, tanbour, rubab, tablak, daf, udu/water drum/singing bowl.

This concert organised by Mana Naqsh launched a new international cultural project &quot;The Language of Love&quot; to promote Persian poetry. It brought together major figures in Persian and Tajik music. Shahram Nazeri is a Kurd from Kermanshah is the western part of Iran. He performs Classical Persian and Kurdish music, and is particularly known for his settings of Rumi poems. Davlatmand Kholov comes from the southern Tajik city of Kulya and performs the traditional musical style of Falak (found across the Pamir Mountains of Central Asia, northeastern Afghanistan and  northern Pakistan as well as southeastern Tajikistan). He is normally accompanied by a large ensemble including five of his sons. Two of the ensemble were present here. The other musicians were billed as the Mana ensemble. I have been them both before (Nazeri in 2004 at the Royal Festival Hall and 2007 at the Barbican with the Rumi Ensemble, and Davlatmand in 2004 at the Theatre de la Ville in Paris).
","worldmusic, iran, traditionalpersianmusic, traditionalkurdishmusic, traditionaltajikmusic, shahramnazeridavlatmandkholov, kamanchehpersian, barbican",0.0
40931930453,Shahram Nazeri & Davlatmand Kholov (2019) 07 - musicians,"24th February 2019 at the Barbican, London EC2.

Country: Iran &amp; Tajikistan. Style: Traditional Persian, Tajik and Kurdish Music.

Lineup:  Shahram Nazeri (v/setar), Davlatmand Kholov (v/setar/ghijak), &amp; musicians playing tar, oud, kamancheh, tanbour, rubab, tablak, daf, udu/water drum/singing bowl.

This concert organised by Mana Naqsh launched a new international cultural project &quot;The Language of Love&quot; to promote Persian poetry. It brought together major figures in Persian and Tajik music. Shahram Nazeri is a Kurd from Kermanshah is the western part of Iran. He performs Classical Persian and Kurdish music, and is particularly known for his settings of Rumi poems. Davlatmand Kholov comes from the southern Tajik city of Kulya and performs the traditional musical style of Falak (found across the Pamir Mountains of Central Asia, northeastern Afghanistan and  northern Pakistan as well as southeastern Tajikistan). He is normally accompanied by a large ensemble including five of his sons. Two of the ensemble were present here. The other musicians were billed as the Mana ensemble. I have been them both before (Nazeri in 2004 at the Royal Festival Hall and 2007 at the Barbican with the Rumi Ensemble, and Davlatmand in 2004 at the Theatre de la Ville in Paris).
","worldmusic, iran, tajikistan, traditionalpersianmusic, traditionalkurdishmusic, traditionaltajikmusic, shahramnazeridavlatmandkholov, barbican",0.0
40931421673,Shahram Nazeri & Davlatmand Kholov (2019) 05 - Davlatmand Kholov,"24th February 2019 at the Barbican, London EC2.

Country: Tajikistan. Style: Traditional Persian, Tajik and Kurdish Music.

Lineup:  Shahram Nazeri (v/setar), Davlatmand Kholov (v/setar/ghijak), &amp; musicians playing tar, oud, kamancheh, tanbour, rubab, tablak, daf, udu/water drum/singing bowl.

This concert organised by Mana Naqsh launched a new international cultural project &quot;The Language of Love&quot; to promote Persian poetry. It brought together major figures in Persian and Tajik music. Shahram Nazeri is a Kurd from Kermanshah is the western part of Iran. He performs Classical Persian and Kurdish music, and is particularly known for his settings of Rumi poems. Davlatmand Kholov comes from the southern Tajik city of Kulya and performs the traditional musical style of Falak (found across the Pamir Mountains of Central Asia, northeastern Afghanistan and  northern Pakistan as well as southeastern Tajikistan). He is normally accompanied by a large ensemble including five of his sons. Two of the ensemble were present here. The other musicians were billed as the Mana ensemble. I have been them both before (Nazeri in 2004 at the Royal Festival Hall and 2007 at the Barbican with the Rumi Ensemble, and Davlatmand in 2004 at the Theatre de la Ville in Paris).
","worldmusic, tajikistan, traditionaltajikmusic, shahramnazeridavlatmandkholov, davlatmandkholov, ghijaktajik, barbican",1.0
47108241434,British Museum,"A pair of bronze footguards, made about 500BC and found in Rome. Few examples survive, and it’s thought they never became popular, being very cumbersome. The little toenails are a nice decorative feature.","britishmuseum, london, bronze, footguards, roman",10.0
47108240614,British Museum,"A group of amphorae of different styles but all with narrow pointed bases. They were used to store liquid or grain, and the assumption is that a narrow base made them easier to hold when pouring. Apparently they were also easier to stack, which seems a bit less convincing.","britishmuseum, london, ceramic, amphora",9.0
47845327602,Extinction Rebel,maxgor.com,"maxgor, maxgorcom, rawstreets, portrait, streetportrait, documentary, demo, extinctionrebellion, uk, london, waterloobridge",297.0
47841299492,Pont Street,Knightsbridge,"pontstreet, sw1, london, chelsea, knightsbridge, canon28mmf18, canon5dmkii, canoneos5dmarkii, urbanlandscape, urban, newtopographics, architecture, normanshaw, victorian, redbrick, clouds, overcast, corner, townhouse, townhouses, 2019",5.0
40927386703,London,"Camminando nella &quot;City&quot; , 
tra grattacieli, telecamere di sorveglianza e aerei di linea........

<strong>__________________________________________________</strong>
Copyright © 2019 <a href=""""http://www.flickr.com/people/margall69/"""">GALLETTO MARCO</a> - All rights reserved.","london, airplane, sky, city",46.0
47103602664,Hide & Seek,"This thrush was darting about under the bushes looking for insects (and trying to avoid my lens). Kew Gardens, London.","bird, garden, hide, seek, thrush, darting, about, under, bushes, insects, trying, avoid, lens, kew, gardens, london",6.0
47839858082,Supermarine Spitfire Mk.1a (R6915),"WWII, RAF. Imperial War Museum, London, UK.","imperialwarmuseum, london, uk, museum, warmuseum, iwm, nikon, d7500, supermarinespitfire, mk1a, r6915, supermarine, spitfire, wwii, raf, fighter, hdr",1.0
40923200653,"Hammersmith Bridge (III) - London, UK","<b> <a href=""""https://www.flickr.com/photos/davidgutierrez/sets/72157604615916402/"""">London </a> | <a href=""""https://www.flickr.com/photos/davidgutierrez/sets/72157603448282758/"""">Architecture </a> | <a href=""""https://www.flickr.com/photos/davidgutierrez/sets/72157603869927550/"""">Night  Photography</a>   | <a href=""""https://www.flickr.com/photos/davidgutierrez/sets/72157603740839976/with/5568324725/"""">London Underground</a> | <a href=""""https://www.flickr.com/photos/davidgutierrez/sets/72157651316078113"""">Tokyo, Japan</a> | <a href=""""https://www.flickr.com/photos/davidgutierrez/albums/72157622849828933"""">Black And White Photography</a> </b>

<b><a href=""""https://www.davidgutierrez.co.uk/"""" rel=""""noreferrer nofollow"""">WWW.DAVIDGUTIERREZ.CO.UK</a> 


<b> <a href=""""https://www.flickr.com/photos/davidgutierrez/""""> © All Rights Reserved. Please don't use this image on websites, blogs or other media without my explicit permission. </a></b>


<a href=""""https://twitter.com/DG4tography"""" rel=""""noreferrer nofollow"""">TWITTER</a> | <a href=""""https://www.facebook.com/pages/David-Gutierrez-Photography/135646506504777"""" rel=""""noreferrer nofollow"""">FACEBOOK </a> | <a href=""""https://www.instagram.com/davidgutierrez.co.uk/"""" rel=""""noreferrer nofollow"""">INSTAGRAM </a></b>


Hammersmith Bridge (III) - London, UK","london, photography, davidgutierrezphotography, city, art, architecture, nikond810, nikon, urban, travel, color, night, blue, photographer, tokyo, paris, bilbao, hongkong, uk, bridge, londonphotographer, twilight, bluehour, colors, colour, colours, colourful, vibrant, england, unitedkingdom, 伦敦, londyn, ロンドン, 런던, лондон, londres, londra, europe, beautiful, cityscape, davidgutierrez, capital, structure, britain, greatbritain, d810, arts, landmark, attraction, historic, reflection, iconic, icon, touristattraction, riverthames, hammersmithbridge, street, streetphotography, tamronsp2470mmf28divcusdg2, 2470mm, tamron, streets, tamronsp2470mmf28divcusd, tamron2470mm",101.0
33966587758,UK - London - Buckingham Palace at night 01_DSC5691,"One last shot from my recent trip to London, I always enjoy an evening walk back to Victoria Station along the Mall.  Seen here against a deep blue sky Buckingham Palace looked particularly striking.

More London architecture : <a href=""""https://www.flickr.com/photos/darrellg/albums/72157635041185106"""">www.flickr.com/photos/darrellg/albums/72157635041185106</a>

From Wikipedia : &quot;Buckingham Palace is the London residence and administrative headquarters of the monarch of the United Kingdom. Located in the City of Westminster, the palace is often at the centre of state occasions and royal hospitality. It has been a focal point for the British people at times of national rejoicing and mourning.

Originally known as Buckingham House, the building at the core of today's palace was a large townhouse built for the Duke of Buckingham in 1703 on a site that had been in private ownership for at least 150 years. It was acquired by King George III in 1761 as a private residence for Queen Charlotte and became known as The Queen's House. During the 19th century it was enlarged, principally by architects John Nash and Edward Blore, who constructed three wings around a central courtyard. Buckingham Palace became the London residence of the British monarch on the accession of Queen Victoria in 1837.&quot;

<a href=""""http://www.dgphotos.co.uk"""" rel=""""noreferrer nofollow"""">My Website</a> : <a href=""""https://www.twitter.com/dgphotos"""" rel=""""noreferrer nofollow"""">Twitter</a> : <a href=""""https://www.facebook.com/dsgphotos"""" rel=""""noreferrer nofollow"""">Facebook</a> : <a href=""""https://instagram.com/dgphotos.co.uk/"""" rel=""""noreferrer nofollow"""">Instagram</a>  : <a href=""""https://www.photocrowd.com/dgphotos/"""" rel=""""noreferrer nofollow"""">Photocrowd</a>

© D.Godliman",uklondonbuckinghampalaceatnight01dsc5691,18.0
47889198591,Elisa on a Bench,Young woman sitting on a bench,"green, young, woman, girl, lady, blue, van, baby, summer, spring, holidays, holiday, stripes, shirt, jeans, curly, hair, beautiful, travel, sunny, plants, adidas, shoes, glasses, geeky, sweater",1.0
47836929162,Retired Police Officer,maxgor.com,"maxgor, maxgorcom, rawstreets, uk, london, marblearch, documentary, demo, extinctionrebellion, photojournalism",191.0
34002738128,Street Art,"Camden, London","camden, london, streetart, grafitti",0.0
40913519263,Street Art,"Camden, London","camden, london, streetart, grafitti",0.0
46963671525,Street Art,"Angry Dan

Camden, London","camden, london, streetart, grafitti, angrydan",0.0
32935567807,Street Art,"gnasher

Camden, London","camden, london, streetart, grafitti, gnasher",0.0
47098689204,British Museum,"This is a tiny vase about five inches high, which shows Hermes weighing souls in a pair of scales, to decide which should rise to heaven and which remain earth-bound. It was made in about 480BC.","britishmuseum, london, ceramic, vase, greek, decorated",5.0
40921664373,British Museum,"Of a far less grandiose style than the Greek vases, this is an ancient Greek's thankful offering to Asclepius and Hygieia for curing his bad leg.","britishmuseum, london, marble, leg",5.0
47098685774,British Museum,"The museum has a vast collection of Greek (and other) vases, many behind glass to protect them. This one has a fine group of horses amidst a classical scene.","britishmuseum, london, ceramic, vase, greek, decorated",6.0
40921504583,Here he comes!,Another squirrel shot from Golders Hill Park.  there were about a dozen climbing about so they could all be different ones!,"squirrel, greysquirrel, goldershillpark, london, nikond7100, april2019, coth, coth5",130.0
46971260255,Last Man Off,1/4” (handheld) exposure on the Tube,"london, england, people, sign, uk, underground, urban, british, train, city, tunnel, britain, subway, tube, gb, metro, station",101.0
40919353023,Royal Mail Sorting Office `London Street Demolished,Heres Whats Left Of The Basement...The Sorting Office Was Built In 1907....It Will Be Transformed Into Paddington Square Designed By Renzo Piano.....Paddington Station In The Rear...,"london, paddington, w2, vanished, demolished, postoffice, mad, sad, surreal, changes, urban, site, england, rubble, uk, classic, art, digger, crane, erith, paddingtonquarter, skip, transport, trains, streetfurniture, architecture, canon, tourism, tourists, history, bygone, sortingdelivery, equipment, winslandmews, edwardian, rail, cube, rooms, below",5.0
40918844683,silver daisy bush,"Olearia pannosa cardiophylla, from South Australia. Seen in the Temperate House at Kew Gardens.","flower, daisy, silverdaisybush, oleariapannosacardiophylla, plant, petal, kewgardens, kew, royalbotanicgardenskew, temperatehouse, monochrome, blackwhite, niksilverefexpro2, macro",13.0
33966574538,UK - London - Brick Lane - Colourful Street Art 01_DSC5533,"Whenever I'm in London if I have the time I like to have a walk along Brick Lane and the surrounding streets to see what new Street Art has appeared.  

I thought this was interesting for the two different, contrasting styles. Not sure if it's the work of one artist or two.......

Click here to see more Street Art : <a href=""""https://www.flickr.com/photos/darrellg/albums/72157628800256941"""">www.flickr.com/photos/darrellg/albums/72157628800256941</a>

<a href=""""http://www.dgphotos.co.uk"""" rel=""""noreferrer nofollow"""">My Website</a> : <a href=""""https://www.twitter.com/dgphotos"""" rel=""""noreferrer nofollow"""">Twitter</a> : <a href=""""https://www.facebook.com/dsgphotos"""" rel=""""noreferrer nofollow"""">Facebook</a> : <a href=""""https://instagram.com/dgphotos.co.uk/"""" rel=""""noreferrer nofollow"""">Instagram</a>  : <a href=""""https://www.photocrowd.com/dgphotos/"""" rel=""""noreferrer nofollow"""">Photocrowd</a>

© D.Godliman",uklondonbricklanecolourfulstreetart01dsc5533,6.0
46927723885,UK - London - Brick Lane - Colourful Street Art 02_DSC5534,"Not quite sure what this colourful piece of Street Art was trying to say but I liked the colours and the inclusion of the '24hr CCTV' sign in the shot.

Whenever I'm in London if I have the time I like to have a walk along Brick Lane and the surrounding streets to see what new Street Art has appeared.  

Click here to see more Street Art : <a href=""""https://www.flickr.com/photos/darrellg/albums/72157628800256941"""">www.flickr.com/photos/darrellg/albums/72157628800256941</a>

<a href=""""http://www.dgphotos.co.uk"""" rel=""""noreferrer nofollow"""">My Website</a> : <a href=""""https://www.twitter.com/dgphotos"""" rel=""""noreferrer nofollow"""">Twitter</a> : <a href=""""https://www.facebook.com/dsgphotos"""" rel=""""noreferrer nofollow"""">Facebook</a> : <a href=""""https://instagram.com/dgphotos.co.uk/"""" rel=""""noreferrer nofollow"""">Instagram</a>  : <a href=""""https://www.photocrowd.com/dgphotos/"""" rel=""""noreferrer nofollow"""">Photocrowd</a>

© D.Godliman",uklondonbricklanecolourfulstreetart02dsc5534,8.0
47829002072,Dinner at Bean and Wheat,"The café behind the Frog, Hoxton. Same Adam Handling menu. We were here to watch the comedy later on at the Iron Stag Bar below.

This was my Cod, corn, morels, ponzu with a &quot;Modus Hoperandi&quot; IPA.","hoxton, london, england, unitedkingdom, gb, food, plate, beer, glass, frog",0.0
47881017471,Trains from Ealing End,A sign on the London Transport Museum [miniature] Railway at the Acton Depot.,"acton, london, england, unitedkingdom, gb, londontransportmuseum, depot, railway, station, sign",0.0
34003870008,Journey to Anywhere,A sculpture of a New Routemaster decorated by Oliver Dean. Crearted in 2014 as part of the Year of the Bus.,"acton, london, england, unitedkingdom, gb, londontransportmuseum, depot, bus, newbusforlondon, newroutemaster, tube, underground, map",0.0
47828980232,Inside a 1983 stock carriage,Inside an old 1983 stock Jubilee Line carriage at the London Transport Museum Acton Depot.,"acton, london, england, unitedkingdom, gb, londontransportmuseum, depot, underground, train, tube, carriage, seats, moquette, poles, doors",0.0
47091575444,Under the Underground seats,Under the seat of a &quot;Standard Stock&quot; tube carriage from the 1920s . They haven't changed too much.,"acton, london, england, unitedkingdom, gb, londontransportmuseum, depot, underground, tube, train, carriage, seat",0.0
47091571314,Waterloo & City Line driving motor car,"A Waterloo &amp; City line driving motor car from 1940, only withdrawn from service in 1993. The line was operated by Network South East until 1994, thus the livery.","acton, london, england, unitedkingdom, gb, londontransportmuseum, depot, train, networksoutheast, britishrail",0.0
46964862375,Inside the green prototype train,"We were lucky enough to be allowed inside the prototype 1986-tube stock driving motor car. 

The caption reads:

&quot;In 1986, three four-car prototype trains were built for the Central line. They trialled new technology and interior design. Each had its own colour; red, blue and green. As well as extensive testing, the prototypes saw brief spells of passenger service on the Jubilee line in 1988 and 1989. This green car, number 16, comes from prototype Train C. Built by Metro-Cammelll, it was the first to be delivered. Developments in body construction include the doors being hung from the roof and not recessing into the bodies when opened.&quot;","acton, london, england, unitedkingdom, gb, londontransportmuseum, depot, underground, tube, train, carriage, seats, cab, poles, doors",0.0
34003835898,'Green' prototype 1986-tube stock driving motor car,"The caption reads:

&quot;In 1986, three four-car prototype trains were built for the Central line. They trialled new technology and interior design. Each had its own colour; red, blue and green. As well as extensive testing, the prototypes saw brief spells of passenger service on the Jubilee line in 1988 and 1989. This green car, number 16, comes from prototype Train C. Built by Metro-Cammelll, it was the first to be delivered. Developments in body construction include the doors being hung from the roof and not recessing into the bodies when opened.&quot;","acton, london, england, unitedkingdom, gb, londontransportmuseum, depot, underground, tube, train, prototype",0.0
46964844275,Olympic lane,A sign from the roads during the 2012 London Olympics,"acton, london, england, unitedkingdom, gb, londontransportmuseum, depot, olympics, line, road, sign",0.0
32936858247,Lego Tube map,At the London Transport Museum Acton depot. One of five made for the Underground's 150th birthday.,"acton, london, england, unitedkingdom, gb, londontransportmuseum, depot, underground, tube, map, lego",0.0
47828932622,Old Northern Line sign,From Balham. With Moorgate-Drayton Park still intact.,"acton, london, england, unitedkingdom, gb, londontransportmuseum, depot, underground, tube, line, sign",0.0
47091544374,Tube station signs,"In the long, colourful style.","acton, london, england, unitedkingdom, gb, londontransportmuseum, depot, underground, tube, station, signs, roundels",0.0
40914470263,Acton Depot,The Acton Depot of the London Transport Museum. We visited on an open day.,"acton, london, england, unitedkingdom, gb, londontransportmuseum, depot, underground, tube, trains, carriages, buses, shed, signs, roundel",0.0
47880828451,Duncan Eagles Trio (2019) 02,"16th February 2019 at the Barbican, London EC2 (supporting Joshua Redman).

Country: Britain. Style: Jazz - Modern.

Lineup: Duncan Eagles (tenor sax), Max Luthert (b), Dave Hamblett (d).

Duncan Eagles has been part of the group Partikel. He recently recorded the first album under his name &quot;Citizen&quot;.
More information: <a href=""""http://www.duncaneagles.com/"""" rel=""""noreferrer nofollow"""">www.duncaneagles.com/</a>, <a href=""""https://www.facebook.com/duncaneaglessax/"""" rel=""""noreferrer nofollow"""">www.facebook.com/duncaneaglessax/</a>.
","jazz, greatbritain, duncaneagles, maxluthert, davehamblett, barbican",0.0
47880828021,Duncan Eagles Trio (2019) 01 - Duncan Eagles,"16th February 2019 at the Barbican, London EC2 (supporting Joshua Redman).

Country: Britain. Style: Jazz - Modern.

Lineup: Duncan Eagles (tenor sax), Max Luthert (b), Dave Hamblett (d).

Duncan Eagles has been part of the group Partikel. He recently recorded the first album under his name &quot;Citizen&quot;.
More information: <a href=""""http://www.duncaneagles.com/"""" rel=""""noreferrer nofollow"""">www.duncaneagles.com/</a>, <a href=""""https://www.facebook.com/duncaneaglessax/"""" rel=""""noreferrer nofollow"""">www.facebook.com/duncaneaglessax/</a>.
","jazz, greatbritain, duncaneagles, tenorsax, saxophone, barbican",0.0
32936705387,Joshua Redman Still Dreaming Band (2019) 06,"16th February 2019 at the Barbican, London EC2.

Country: United States. Style: Jazz - Modern.

Lineup: Joshua Redman (tenor sax), Ron Miles (cornet), Scott Colley (b), Brian Blade (d).

This group is inspired by the band Old and New Dreams (1976–1987) which included Joshua Redman's father Dewey. They play mostly original composition plus a few from the previous roup. This is the eighth time I have seen Reman live (the first in 2000), and I took photos on the last two with James Farm in 2015 (<a href=""""https://www.flickr.com/photos/kmlivemusic/albums/72157661338505456/"""">www.flickr.com/photos/kmlivemusic/albums/72157661338505456/</a>) and a duo with Brad Mehldau in 2016 (<a href=""""https://www.flickr.com/photos/kmlivemusic/albums/72157672982661793/"""">www.flickr.com/photos/kmlivemusic/albums/72157672982661793/</a>). I have also photographed Scott Colley with a Bob James &amp; David Sanborn group (<a href=""""https://www.flickr.com/photos/kmlivemusic/11081327685/"""">www.flickr.com/photos/kmlivemusic/11081327685/</a>) and Brian Blade with Wayne Shorter (<a href=""""https://www.flickr.com/photos/kmlivemusic/31272539261/"""">www.flickr.com/photos/kmlivemusic/31272539261/</a>).
In this photo:The bow at the end of the concert (left to right) Joshua Redman, Brian Blade, Scott Colley, Ron Miles.
 More information: <a href=""""http://www.joshuaredman.com/"""" rel=""""noreferrer nofollow"""">www.joshuaredman.com/</a>, <a href=""""https://www.facebook.com/JoshuaRedmanMusic/"""" rel=""""noreferrer nofollow"""">www.facebook.com/JoshuaRedmanMusic/</a>.
","jazz, unitedstates, joshuaredman, barbican",1.0
47054392064,UK - London - Brick Lane - Posters 02_DSC5543,"Whenever I'm in London if I have the time I like to have a walk along Brick Lane and the surrounding streets to see what new Street Art has appeared.  

Obviously the shot is a bit of a mess but I thought the colour palette holds it together......

Click here to see more Street Art : <a href=""""https://www.flickr.com/photos/darrellg/albums/72157628800256941"""">www.flickr.com/photos/darrellg/albums/72157628800256941</a>

<a href=""""http://www.dgphotos.co.uk"""" rel=""""noreferrer nofollow"""">My Website</a> : <a href=""""https://www.twitter.com/dgphotos"""" rel=""""noreferrer nofollow"""">Twitter</a> : <a href=""""https://www.facebook.com/dsgphotos"""" rel=""""noreferrer nofollow"""">Facebook</a> : <a href=""""https://instagram.com/dgphotos.co.uk/"""" rel=""""noreferrer nofollow"""">Instagram</a>  : <a href=""""https://www.photocrowd.com/dgphotos/"""" rel=""""noreferrer nofollow"""">Photocrowd</a>

© D.Godliman",uklondonbricklaneposters02dsc5543,9.0
46964152445,Straight curves,---,"architecture, buildings, straightcurves, balconies, windows, glass, curves, silver, apartments, albertembankment, fosterpartners, thecornichelondon, thames, london, england, uk",170.0
46963917525,Morning at St Dunstan in the East,"The ruins of the church St Dunstan in the East in London, England","church, garden, église, jardin, kirche, garten, kyrka, trädgård, architecture, architektur, arkitektur, benches, bänkar, bänke, bancs, ruin, ruine, windows, fenster, fönster, fenêtre, path, gång, pfad, plants, sunlight, sunshine, light, shadow, licht, schatten, ljus, skugga, lumière, ombre, spring, vår, frühling, printemps, cityscape, city, stadt, stad, ville, capital, stdunstanintheeast, cityoflondon, london, londres, england, angleterre, unitedkingdom, royaumeunis, greatbritain, storbritannien, grosbritannien, uk, gb, europe, nikond7200",0.0
46963855225,Tower Bridge Reflection,"View of Tower Bridge from More London Place in London, England","architecture, architektur, arkitektur, tower, tour, turm, torn, bridge, bro, brücke, pont, building, buildings, bâtiment, byggnad, gebäude, tree, träd, baum, arbre, sky, himmel, ciel, reflection, reflektion, spegling, spiegelung, sunshine, sunlight, light, shadow, licht, schatten, ljus, skugga, lumière, ombre, morning, morgon, morgen, matin, people, cityscape, city, stad, stadt, ville, capital, towerbridge, morelondonriverside, morelondonplace, london, londres, england, angleterre, unitedkingdom, royaumeunis, greatbritain, storbritannien, grosbritannien, uk, gb, europe, nikond7200",0.0
